ticket_id,opened_at,first_response_at,resolved_at,priority,status,channel,support_team,technician_name,customer_segment,category,sla_target_hours,first_response_hours,resolution_hours,breached_sla
T0036,2026-04-01T12:15,2026-04-01T22:15,2026-04-03T18:15,low,resolved,WhatsApp,Field Support,Jordan Ellis,SMB,Software Issue,72,10,54,false
T0037,2026-02-03T13:15,2026-02-04T02:15,2026-02-05T12:15,medium,resolved,Email,Workshop,Taylor Brooks,Mid-Market,Warranty,48,13,47,false
T0038,2026-02-04T14:15,2026-02-04T16:15,2026-02-05T10:15,high,resolved,Phone,Remote Support,Morgan Reed,Enterprise,Preventive Maintenance,24,2,20,false
T0039,2026-04-03T15:15,2026-04-03T20:15,2026-04-03T20:15,critical,resolved,Portal,Field Support,Cameron Shaw,SMB,Network Setup,8,5,5,false
T0040,2026-03-05T08:15,2026-03-05T16:15,,low,in_progress,WhatsApp,Workshop,Avery Cole,Mid-Market,Hardware Repair,72,8,,true
T0041,2026-01-23T09:15,2026-01-23T20:15,2026-01-25T12:15,medium,resolved,Email,Remote Support,Jordan Ellis,Enterprise,Software Issue,48,11,51,true
T0042,2026-02-17T10:15,2026-02-17T11:15,2026-02-18T10:15,high,resolved,Phone,Field Support,Taylor Brooks,SMB,Warranty,24,1,24,false
T0043,2026-02-19T11:15,2026-02-19T14:15,2026-02-19T20:15,critical,resolved,Portal,Workshop,Morgan Reed,Mid-Market,Preventive Maintenance,8,3,9,true
T0044,2026-03-22T12:15,2026-03-22T18:15,2026-03-25T02:15,low,resolved,WhatsApp,Remote Support,Cameron Shaw,Enterprise,Network Setup,72,6,62,false
T0045,2026-01-26T13:15,2026-01-26T22:15,,medium,open,Email,Field Support,Avery Cole,SMB,Hardware Repair,48,9,,true
T0046,2026-01-14T14:15,2026-01-15T02:15,2026-01-15T18:15,high,resolved,Phone,Workshop,Jordan Ellis,Mid-Market,Software Issue,24,12,28,true
T0047,2026-04-05T15:15,2026-04-05T16:15,2026-04-06T04:15,critical,resolved,Portal,Remote Support,Taylor Brooks,Enterprise,Warranty,8,1,13,true
T0048,2026-01-04T08:15,2026-01-04T12:15,2026-01-07T02:15,low,resolved,WhatsApp,Field Support,Morgan Reed,SMB,Preventive Maintenance,72,4,66,false
T0049,2026-03-22T09:15,2026-03-22T16:15,2026-03-23T02:15,medium,resolved,Email,Workshop,Cameron Shaw,Mid-Market,Network Setup,48,7,17,false
T0050,2026-01-22T10:15,2026-01-22T20:15,,high,pending_customer,Phone,Remote Support,Avery Cole,Enterprise,Hardware Repair,24,10,,true
T0051,2026-02-27T11:15,2026-02-28T00:15,2026-02-27T16:15,critical,resolved,Portal,Field Support,Jordan Ellis,SMB,Software Issue,8,13,5,false
T0052,2026-03-20T12:15,2026-03-20T14:15,2026-03-23T10:15,low,resolved,WhatsApp,Workshop,Taylor Brooks,Mid-Market,Warranty,72,2,70,false
T0053,2026-01-16T13:15,2026-01-16T18:15,2026-01-17T10:15,medium,resolved,Email,Remote Support,Morgan Reed,Enterprise,Preventive Maintenance,48,5,21,false
T0054,2026-02-06T14:15,2026-02-06T22:15,2026-02-07T02:15,high,resolved,Phone,Field Support,Cameron Shaw,SMB,Network Setup,24,8,12,false
T0055,2026-02-22T15:15,2026-02-23T02:15,,critical,in_progress,Portal,Workshop,Avery Cole,Mid-Market,Hardware Repair,8,11,,true
T0056,2026-03-29T08:15,2026-03-29T09:15,2026-04-01T10:15,low,resolved,WhatsApp,Remote Support,Jordan Ellis,Enterprise,Software Issue,72,1,74,true
T0057,2026-04-10T09:15,2026-04-10T12:15,2026-04-11T10:15,medium,resolved,Email,Field Support,Taylor Brooks,SMB,Warranty,48,3,25,false
T0058,2026-02-09T10:15,2026-02-09T16:15,2026-02-10T02:15,high,resolved,Phone,Workshop,Morgan Reed,Mid-Market,Preventive Maintenance,24,6,16,false
T0059,2026-02-03T11:15,2026-02-03T20:15,2026-02-04T00:15,critical,resolved,Portal,Remote Support,Cameron Shaw,Enterprise,Network Setup,8,9,13,true
T0060,2026-02-25T12:15,2026-02-26T00:15,,low,open,WhatsApp,Field Support,Avery Cole,SMB,Hardware Repair,72,12,,true
